L-BFGS | iteration: 127, total loss=284722561024.0000, content_loss=117773564.4531, style loss=284573130000.0000, tv loss=31656776.0000
L-BFGS | iteration: 128, total loss=283291680768.0000, content_loss=117806708.9844, style loss=283142190000.0000, tv loss=31691016.0000
L-BFGS | iteration: 129, total loss=281852608512.0000, content_loss=117942988.2812, style loss=281702910000.0000, tv loss=31746080.0000
L-BFGS | iteration: 130, total loss=280368775168.0000, content_loss=118046757.8125, style loss=280218930000.0000, tv loss=31796176.0000
L-BFGS | iteration: 131, total loss=278932946944.0000, content_loss=118208300.7812, style loss=278782860000.0000, tv loss=31875056.0000
L-BFGS | iteration: 132, total loss=277461139456.0000, content_loss=118258496.0938, style loss=277311000000.0000, tv loss=31890444.0000
L-BFGS | iteration: 133, total loss=276088782848.0000, content_loss=118445673.8281, style loss=275938320000.0000, tv loss=32021896.0000
L-BFGS | iteration: 134, total loss=274712297472.0000, content_loss=118417988.2812, style loss=274561890000.0000, tv loss=31984210.0000
L-BFGS | iteration: 135, total loss=273205493760.0000, content_loss=118647812.5000, style loss=273054720000.0000, tv loss=32117656.0000
L-BFGS | iteration: 136, total loss=271716499456.0000, content_loss=118621445.3125, style loss=271565760000.0000, tv loss=32119352.0000
L-BFGS | iteration: 137, total loss=270287126528.0000, content_loss=118763183.5938, style loss=270136170000.0000, tv loss=32199266.0000
L-BFGS | iteration: 138, total loss=268859244544.0000, content_loss=118818417.9688, style loss=268708170000.0000, tv loss=32261580.0000
L-BFGS | iteration: 139, total loss=267393400832.0000, content_loss=118859355.4688, style loss=267242220000.0000, tv loss=32316468.0000
L-BFGS | iteration: 140, total loss=265946152960.0000, content_loss=118984169.9219, style loss=265794780000.0000, tv loss=32393830.0000
L-BFGS | iteration: 141, total loss=264541388800.0000, content_loss=119003203.1250, style loss=264389970000.0000, tv loss=32415912.0000
L-BFGS | iteration: 142, total loss=263114817536.0000, content_loss=119228193.3594, style loss=262963080000.0000, tv loss=32500380.0000
L-BFGS | iteration: 143, total loss=261743722496.0000, content_loss=119303212.8906, style loss=261591870000.0000, tv loss=32545708.0000
L-BFGS | iteration: 144, total loss=260361584640.0000, content_loss=119446621.0938, style loss=260209530000.0000, tv loss=32615862.0000
L-BFGS | iteration: 145, total loss=258992603136.0000, content_loss=119530927.7344, style loss=258840420000.0000, tv loss=32649212.0000
L-BFGS | iteration: 146, total loss=257640284160.0000, content_loss=119699375.0000, style loss=257487840000.0000, tv loss=32741906.0000
L-BFGS | iteration: 147, total loss=256283361280.0000, content_loss=119677275.3906, style loss=256130940000.0000, tv loss=32739650.0000
L-BFGS | iteration: 148, total loss=254953734144.0000, content_loss=119860078.1250, style loss=254800980000.0000, tv loss=32882272.0000
