L-BFGS | iteration: 154, total loss=2573704448.0000, content_loss=200991132.8125, style loss=2363051015.6250, tv loss=9662261.0000
L-BFGS | iteration: 155, total loss=2561308928.0000, content_loss=201158437.5000, style loss=2350496015.6250, tv loss=9654561.0000
L-BFGS | iteration: 156, total loss=2546697472.0000, content_loss=201190449.2188, style loss=2335845703.1250, tv loss=9661481.0000
L-BFGS | iteration: 157, total loss=2533693440.0000, content_loss=201324570.3125, style loss=2322706640.6250, tv loss=9662102.0000
L-BFGS | iteration: 158, total loss=2515883264.0000, content_loss=201267421.8750, style loss=2304956250.0000, tv loss=9659629.0000
L-BFGS | iteration: 159, total loss=2497304320.0000, content_loss=201279472.6562, style loss=2286365390.6250, tv loss=9659320.0000
L-BFGS | iteration: 160, total loss=2479500800.0000, content_loss=201456152.3438, style loss=2268388828.1250, tv loss=9655778.0000
L-BFGS | iteration: 161, total loss=2461270272.0000, content_loss=201448222.6562, style loss=2250166875.0000, tv loss=9655213.0000
L-BFGS | iteration: 162, total loss=2434804480.0000, content_loss=201704042.9688, style loss=2223446015.6250, tv loss=9654626.0000
L-BFGS | iteration: 163, total loss=2417976064.0000, content_loss=201493320.3125, style loss=2206834453.1250, tv loss=9648429.0000
L-BFGS | iteration: 164, total loss=2403739648.0000, content_loss=201712265.6250, style loss=2192377031.2500, tv loss=9650170.0000
L-BFGS | iteration: 165, total loss=2401085696.0000, content_loss=201670722.6562, style loss=2189755546.8750, tv loss=9659326.0000
L-BFGS | iteration: 166, total loss=2392429056.0000, content_loss=201722070.3125, style loss=2181052031.2500, tv loss=9654942.0000
L-BFGS | iteration: 167, total loss=2380849152.0000, content_loss=201764746.0938, style loss=2169427734.3750, tv loss=9656672.0000
L-BFGS | iteration: 168, total loss=2355583744.0000, content_loss=201785292.9688, style loss=2144139140.6250, tv loss=9659502.0000
L-BFGS | iteration: 169, total loss=2340437504.0000, content_loss=202097285.1562, style loss=2128683515.6250, tv loss=9656725.0000
L-BFGS | iteration: 170, total loss=2324937728.0000, content_loss=201937480.4688, style loss=2113341093.7500, tv loss=9659046.0000
L-BFGS | iteration: 171, total loss=2314963968.0000, content_loss=201912109.3750, style loss=2103395625.0000, tv loss=9656292.0000
L-BFGS | iteration: 172, total loss=2305155328.0000, content_loss=201834140.6250, style loss=2093666250.0000, tv loss=9654855.0000
L-BFGS | iteration: 173, total loss=2291396352.0000, content_loss=201954003.9062, style loss=2079790078.1250, tv loss=9652174.0000
L-BFGS | iteration: 174, total loss=2276691456.0000, content_loss=202077988.2812, style loss=2064963046.8750, tv loss=9650530.0000
L-BFGS | iteration: 175, total loss=2256914176.0000, content_loss=202000957.0312, style loss=2045262656.2500, tv loss=9650338.0000
L-BFGS | iteration: 176, total loss=2237998848.0000, content_loss=202307832.0312, style loss=2026039453.1250, tv loss=9651421.0000
L-BFGS | iteration: 177, total loss=2231142400.0000, content_loss=202151132.8125, style loss=2019341250.0000, tv loss=9650040.0000
L-BFGS | iteration: 178, total loss=2222684928.0000, content_loss=202125136.7188, style loss=2010913125.0000, tv loss=9646610.0000
L-BFGS | iteration: 179, total loss=2208820992.0000, content_loss=202091953.1250, style loss=1997077968.7500, tv loss=9651071.0000
L-BFGS | iteration: 180, total loss=2194734848.0000, content_loss=202052578.1250, style loss=1983035156.2500, tv loss=9647204.0000
L-BFGS | iteration: 181, total loss=2181959680.0000, content_loss=202088632.8125, style loss=1970223515.6250, tv loss=9647690.0000
