L-BFGS | iteration: 136, total loss=3977892608.0000, content_loss=252948320.3125, style loss=3699555468.7500, tv loss=25388876.0000
L-BFGS | iteration: 137, total loss=3950114560.0000, content_loss=253053828.1250, style loss=3671660390.6250, tv loss=25400460.0000
L-BFGS | iteration: 138, total loss=3912684800.0000, content_loss=253154824.2188, style loss=3634114921.8750, tv loss=25415262.0000
L-BFGS | iteration: 139, total loss=3867246080.0000, content_loss=253145546.8750, style loss=3588648046.8750, tv loss=25452608.0000
L-BFGS | iteration: 140, total loss=3841308416.0000, content_loss=253613398.4375, style loss=3562228593.7500, tv loss=25466572.0000
L-BFGS | iteration: 141, total loss=3796596992.0000, content_loss=253035195.3125, style loss=3518051250.0000, tv loss=25510444.0000
L-BFGS | iteration: 142, total loss=3769714688.0000, content_loss=252951035.1562, style loss=3491268750.0000, tv loss=25494866.0000
L-BFGS | iteration: 143, total loss=3735377408.0000, content_loss=253113261.7188, style loss=3456753515.6250, tv loss=25510734.0000
L-BFGS | iteration: 144, total loss=3675769600.0000, content_loss=253127089.8438, style loss=3397091250.0000, tv loss=25551028.0000
L-BFGS | iteration: 145, total loss=3648420352.0000, content_loss=253632890.6250, style loss=3369181875.0000, tv loss=25605584.0000
L-BFGS | iteration: 146, total loss=3610607360.0000, content_loss=253644257.8125, style loss=3331373203.1250, tv loss=25589736.0000
L-BFGS | iteration: 147, total loss=3587441408.0000, content_loss=253363417.9688, style loss=3308464453.1250, tv loss=25613498.0000
L-BFGS | iteration: 148, total loss=3566039040.0000, content_loss=253355839.8438, style loss=3287060390.6250, tv loss=25622736.0000
L-BFGS | iteration: 149, total loss=3518316288.0000, content_loss=253405253.9062, style loss=3239244140.6250, tv loss=25667176.0000
L-BFGS | iteration: 150, total loss=3481604864.0000, content_loss=253325488.2812, style loss=3202611093.7500, tv loss=25668020.0000
L-BFGS | iteration: 151, total loss=3450771456.0000, content_loss=253319726.5625, style loss=3171746250.0000, tv loss=25705348.0000
L-BFGS | iteration: 152, total loss=3425617920.0000, content_loss=253461523.4375, style loss=3146441250.0000, tv loss=25715174.0000
L-BFGS | iteration: 153, total loss=3411650816.0000, content_loss=253485527.3438, style loss=3132420000.0000, tv loss=25745028.0000
L-BFGS | iteration: 154, total loss=3388618752.0000, content_loss=253542070.3125, style loss=3109348828.1250, tv loss=25727862.0000
L-BFGS | iteration: 155, total loss=3366443264.0000, content_loss=253561582.0312, style loss=3087153750.0000, tv loss=25727968.0000
L-BFGS | iteration: 156, total loss=3331264768.0000, content_loss=253561230.4688, style loss=3051959062.5000, tv loss=25744436.0000
L-BFGS | iteration: 157, total loss=3285200128.0000, content_loss=253409316.4062, style loss=3005977734.3750, tv loss=25813098.0000
L-BFGS | iteration: 158, total loss=3252499456.0000, content_loss=253411523.4375, style loss=2973285703.1250, tv loss=25802208.0000
L-BFGS | iteration: 159, total loss=3230960128.0000, content_loss=253346914.0625, style loss=2951797734.3750, tv loss=25815618.0000
L-BFGS | iteration: 160, total loss=3212492800.0000, content_loss=253360000.0000, style loss=2933292890.6250, tv loss=25840000.0000
L-BFGS | iteration: 161, total loss=3186756608.0000, content_loss=253649140.6250, style loss=2907249843.7500, tv loss=25857618.0000
L-BFGS | iteration: 162, total loss=3164121088.0000, content_loss=253703046.8750, style loss=2884527421.8750, tv loss=25890748.0000
L-BFGS | iteration: 163, total loss=3140558592.0000, content_loss=253815507.8125, style loss=2860864453.1250, tv loss=25878620.0000
L-BFGS | iteration: 164, total loss=3120457216.0000, content_loss=253859199.2188, style loss=2840702578.1250, tv loss=25895498.0000
L-BFGS | iteration: 165, total loss=3089452032.0000, content_loss=253775449.2188, style loss=2809756875.0000, tv loss=25919834.0000
L-BFGS | iteration: 166, total loss=3061160448.0000, content_loss=253640000.0000, style loss=2781564140.6250, tv loss=25956280.0000
L-BFGS | iteration: 167, total loss=3034796032.0000, content_loss=253685761.7188, style loss=2755149140.6250, tv loss=25961230.0000
L-BFGS | iteration: 168, total loss=3017583872.0000, content_loss=253687441.4062, style loss=2737897734.3750, tv loss=25998470.0000
L-BFGS | iteration: 169, total loss=2998394368.0000, content_loss=253778925.7812, style loss=2718628828.1250, tv loss=25986452.0000
L-BFGS | iteration: 170, total loss=2986160384.0000, content_loss=253741972.6562, style loss=2706420703.1250, tv loss=25997462.0000
L-BFGS | iteration: 171, total loss=2955353600.0000, content_loss=253762246.0938, style loss=2675555390.6250, tv loss=26035884.0000
L-BFGS | iteration: 172, total loss=2938983680.0000, content_loss=253712539.0625, style loss=2659230703.1250, tv loss=26040272.0000
L-BFGS | iteration: 173, total loss=2915945472.0000, content_loss=253698046.8750, style loss=2636186015.6250, tv loss=26061258.0000
L-BFGS | iteration: 174, total loss=2885864960.0000, content_loss=253993457.0312, style loss=2605792265.6250, tv loss=26079272.0000
L-BFGS | iteration: 175, total loss=2867241984.0000, content_loss=253747636.7188, style loss=2587381640.6250, tv loss=26112594.0000
L-BFGS | iteration: 176, total loss=2852932608.0000, content_loss=253671855.4688, style loss=2573157421.8750, tv loss=26103366.0000
L-BFGS | iteration: 177, total loss=2839152896.0000, content_loss=253663417.9688, style loss=2559370078.1250, tv loss=26119430.0000
L-BFGS | iteration: 178, total loss=2822916096.0000, content_loss=253618652.3438, style loss=2543158593.7500, tv loss=26138940.0000
L-BFGS | iteration: 179, total loss=2808259072.0000, content_loss=253597734.3750, style loss=2528516953.1250, tv loss=26144532.0000
L-BFGS | iteration: 180, total loss=2776055040.0000, content_loss=253517441.4062, style loss=2496363984.3750, tv loss=26173740.0000
L-BFGS | iteration: 181, total loss=2751335168.0000, content_loss=253606757.8125, style loss=2471531484.3750, tv loss=26196988.0000
L-BFGS | iteration: 182, total loss=2734195456.0000, content_loss=253573535.1562, style loss=2454411796.8750, tv loss=26210060.0000
L-BFGS | iteration: 183, total loss=2716581888.0000, content_loss=253653164.0625, style loss=2436711796.8750, tv loss=26217006.0000
L-BFGS | iteration: 184, total loss=2703353600.0000, content_loss=253593417.9688, style loss=2423511093.7500, tv loss=26249260.0000
L-BFGS | iteration: 185, total loss=2684480512.0000, content_loss=253727500.0000, style loss=2404511718.7500, tv loss=26241332.0000
L-BFGS | iteration: 186, total loss=2670176512.0000, content_loss=253745820.3125, style loss=2390170546.8750, tv loss=26260010.0000
L-BFGS | iteration: 187, total loss=2651879168.0000, content_loss=253658378.9062, style loss=2371942968.7500, tv loss=26278012.0000
L-BFGS | iteration: 188, total loss=2635431936.0000, content_loss=253672773.4375, style loss=2355468515.6250, tv loss=26290708.0000
L-BFGS | iteration: 189, total loss=2618382336.0000, content_loss=253703691.4062, style loss=2338374609.3750, tv loss=26304106.0000
L-BFGS | iteration: 190, total loss=2600768768.0000, content_loss=253764003.9062, style loss=2320694296.8750, tv loss=26310488.0000
L-BFGS | iteration: 191, total loss=2592006912.0000, content_loss=253782578.1250, style loss=2311886953.1250, tv loss=26337656.0000
L-BFGS | iteration: 192, total loss=2580384256.0000, content_loss=253838730.4688, style loss=2300210156.2500, tv loss=26335168.0000
L-BFGS | iteration: 193, total loss=2566112512.0000, content_loss=253814628.9062, style loss=2285948671.8750, tv loss=26349414.0000
L-BFGS | iteration: 194, total loss=2551629056.0000, content_loss=253835507.8125, style loss=2271431250.0000, tv loss=26362416.0000
L-BFGS | iteration: 195, total loss=2533886720.0000, content_loss=253618828.1250, style loss=2253880078.1250, tv loss=26387688.0000
L-BFGS | iteration: 196, total loss=2519014144.0000, content_loss=253697324.2188, style loss=2238926015.6250, tv loss=26390796.0000
L-BFGS | iteration: 197, total loss=2507021824.0000, content_loss=253689863.2812, style loss=2226928828.1250, tv loss=26403134.0000
L-BFGS | iteration: 198, total loss=2496050432.0000, content_loss=253706425.7812, style loss=2215942500.0000, tv loss=26401604.0000
L-BFGS | iteration: 199, total loss=2485387008.0000, content_loss=253655273.4375, style loss=2205304453.1250, tv loss=26427034.0000
L-BFGS | iteration: 200, total loss=2473206528.0000, content_loss=253700800.7812, style loss=2193074531.2500, tv loss=26431168.0000
L-BFGS | iteration: 201, total loss=2451939584.0000, content_loss=253805019.5312, style loss=2171688281.2500, tv loss=26446238.0000
L-BFGS | iteration: 202, total loss=2438849536.0000, content_loss=253740156.2500, style loss=2158650000.0000, tv loss=26459078.0000
L-BFGS | iteration: 203, total loss=2422384384.0000, content_loss=253719394.5312, style loss=2142188203.1250, tv loss=26476700.0000
L-BFGS | iteration: 204, total loss=2409657856.0000, content_loss=253729824.2188, style loss=2129447343.7500, tv loss=26480648.0000
L-BFGS | iteration: 205, total loss=2403186432.0000, content_loss=253567441.4062, style loss=2123106328.1250, tv loss=26512656.0000
L-BFGS | iteration: 206, total loss=2392068864.0000, content_loss=253612109.3750, style loss=2111955234.3750, tv loss=26501756.0000
L-BFGS | iteration: 207, total loss=2384246528.0000, content_loss=253620605.4688, style loss=2104125000.0000, tv loss=26500854.0000
L-BFGS | iteration: 208, total loss=2369673216.0000, content_loss=253655722.6562, style loss=2089500703.1250, tv loss=26516708.0000
L-BFGS | iteration: 209, total loss=2355394304.0000, content_loss=253715175.7812, style loss=2075151328.1250, tv loss=26527632.0000
